100.000000;0.000250;130.893113;1.275191
100.000000;0.000312;130.894638;1.276007
100.000000;0.000400;130.899071;1.276304
100.000000;0.000500;130.897715;1.276423
100.000000;0.000625;130.897606;1.274378
100.000000;0.000800;130.899022;1.274739
100.000000;0.001000;130.899888;1.274366
100.000000;0.001250;130.901948;1.277441
100.000000;0.001563;130.903603;1.276353
100.000000;0.002000;130.905448;1.277632
100.000000;0.002500;130.906166;1.277079
100.000000;0.003125;130.906287;1.279267
100.000000;0.004000;130.905252;1.277629
100.000000;0.005000;130.900291;1.277560
100.000000;0.006250;130.906629;1.274958
100.000000;0.008000;130.906589;1.277084
100.000000;0.010000;130.903729;1.274770
100.000000;0.012500;130.905375;1.275281
100.000000;0.016667;130.907664;1.274914
100.000000;0.020000;130.906195;1.277376
100.000000;0.025000;130.908766;1.275294
100.000000;0.033333;130.912207;1.275139
100.000000;0.040000;130.913130;1.277788
100.000000;0.050000;130.914372;1.280950
100.000000;0.066667;130.917739;1.276766
100.000000;0.076923;130.917602;1.278380
100.000000;0.100000;130.924144;1.277590
100.000000;0.125000;130.929922;1.281730
100.000000;0.166667;130.933283;1.277693
100.000000;0.200000;130.934251;1.278409
100.000000;0.250000;130.929429;1.278290
100.000000;0.333333;130.934436;1.281535
100.000000;0.400000;130.933982;1.279483
100.000000;0.500000;130.945898;1.281196
100.000000;0.625000;130.948071;1.281417
100.000000;0.769231;130.959510;1.285841
100.000000;1.000000;130.969189;1.283698
100.000000;1.300000;130.986415;1.288728
100.000000;1.600000;131.006562;1.291511
100.000000;2.000000;131.027032;1.295092
100.000000;2.500000;131.057913;1.298752
100.000000;3.000000;131.092902;1.304289
100.000000;4.000000;131.135154;1.310980
100.000000;5.000000;131.193092;1.318834
100.000000;6.000000;131.265128;1.330432
100.000000;8.000000;131.364507;1.343510
100.000000;10.000000;131.489588;1.361449
100.000000;13.000000;131.637047;1.384225
100.000000;15.000000;131.846885;1.414660
125.000000;0.000250;130.501205;1.379709
125.000000;0.000312;130.502131;1.379695
125.000000;0.000400;130.503140;1.380602
125.000000;0.000500;130.509560;1.380262
125.000000;0.000625;130.506485;1.379595
125.000000;0.000800;130.510250;1.379522
125.000000;0.001000;130.509190;1.380495
125.000000;0.001250;130.511997;1.381697
125.000000;0.001563;130.508366;1.380924
125.000000;0.002000;130.513373;1.380246
125.000000;0.002500;130.510854;1.380645
125.000000;0.003125;130.512872;1.381782
125.000000;0.004000;130.513191;1.381167
125.000000;0.005000;130.509371;1.381335
125.000000;0.006250;130.514590;1.381209
125.000000;0.008000;130.511328;1.381144
125.000000;0.010000;130.512118;1.380810
125.000000;0.012500;130.514396;1.381095
125.000000;0.016667;130.516530;1.380986
125.000000;0.020000;130.518517;1.381801
125.000000;0.025000;130.520261;1.382784
125.000000;0.033333;130.524328;1.382791
125.000000;0.040000;130.525767;1.383314
125.000000;0.050000;130.528750;1.383006
125.000000;0.066667;130.528478;1.383613
125.000000;0.076923;130.536639;1.384693
125.000000;0.100000;130.542917;1.385339
125.000000;0.125000;130.547565;1.385812
125.000000;0.166667;130.553133;1.386912
125.000000;0.200000;130.563483;1.388317
125.000000;0.250000;130.563916;1.389500
125.000000;0.333333;130.568772;1.389919
125.000000;0.400000;130.584665;1.392072
125.000000;0.500000;130.597444;1.394211
125.000000;0.625000;130.619691;1.397090
125.000000;0.769231;130.645740;1.401323
125.000000;1.000000;130.671838;1.406516
125.000000;1.300000;130.713935;1.412044
125.000000;1.600000;130.763895;1.419189
125.000000;2.000000;130.825181;1.428799
125.000000;2.500000;130.904290;1.439799
125.000000;3.000000;131.002662;1.455893
125.000000;4.000000;131.124554;1.474316
125.000000;5.000000;131.287751;1.497001
125.000000;6.000000;131.485871;1.524761
125.000000;8.000000;131.736301;1.562260
125.000000;10.000000;132.060239;1.605968
125.000000;13.000000;132.475490;1.661453
125.000000;15.000000;133.021974;1.732073
160.000000;0.000250;129.653677;1.648419
160.000000;0.000312;129.652501;1.648505
160.000000;0.000400;129.654529;1.649652
160.000000;0.000500;129.659435;1.649101
160.000000;0.000625;129.652594;1.649891
160.000000;0.000800;129.654708;1.650316
160.000000;0.001000;129.658723;1.650261
160.000000;0.001250;129.658484;1.650194
160.000000;0.001563;129.660801;1.650386
160.000000;0.002000;129.659852;1.649919
160.000000;0.002500;129.658719;1.650264
160.000000;0.003125;129.658442;1.650534
160.000000;0.004000;129.658120;1.650333
160.000000;0.005000;129.662010;1.651729
160.000000;0.006250;129.662234;1.651758
160.000000;0.008000;129.663517;1.651453
160.000000;0.010000;129.666833;1.652139
160.000000;0.012500;129.663625;1.652607
160.000000;0.016667;129.669858;1.651512
160.000000;0.020000;129.668915;1.652440
160.000000;0.025000;129.670758;1.652583
160.000000;0.033333;129.671257;1.652982
160.000000;0.040000;129.674451;1.653289
160.000000;0.050000;129.678054;1.653766
160.000000;0.066667;129.682151;1.654349
160.000000;0.076923;129.691110;1.655860
160.000000;0.100000;129.698276;1.656547
160.000000;0.125000;129.703243;1.658793
160.000000;0.166667;129.716400;1.659796
160.000000;0.200000;129.733634;1.662688
160.000000;0.250000;129.736497;1.663677
160.000000;0.333333;129.752184;1.665840
160.000000;0.400000;129.772184;1.668686
160.000000;0.500000;129.795119;1.673261
160.000000;0.625000;129.822652;1.677679
160.000000;0.769231;129.867028;1.683317
160.000000;1.000000;129.910678;1.691115
160.000000;1.300000;129.977181;1.700501
160.000000;1.600000;130.052852;1.713459
160.000000;2.000000;130.146372;1.729438
160.000000;2.500000;130.269247;1.747659
160.000000;3.000000;130.422460;1.771909
160.000000;4.000000;130.619172;1.801148
160.000000;5.000000;130.858894;1.838564
160.000000;6.000000;131.167593;1.883757
160.000000;8.000000;131.564117;1.941096
160.000000;10.000000;132.061528;2.010320
160.000000;13.000000;132.699456;2.096020
160.000000;15.000000;133.533577;2.212740
200.000000;0.000250;129.018135;1.942549
200.000000;0.000312;129.021833;1.945223
200.000000;0.000400;129.020013;1.944294
200.000000;0.000500;129.020179;1.943922
200.000000;0.000625;129.022843;1.945259
200.000000;0.000800;129.022012;1.943973
200.000000;0.001000;129.026219;1.943991
200.000000;0.001250;129.028200;1.944804
200.000000;0.001563;129.027723;1.945234
200.000000;0.002000;129.030181;1.945288
200.000000;0.002500;129.028503;1.945411
200.000000;0.003125;129.029681;1.944921
200.000000;0.004000;129.030805;1.945021
200.000000;0.005000;129.032707;1.946263
200.000000;0.006250;129.033842;1.946541
200.000000;0.008000;129.032278;1.947108
200.000000;0.010000;129.031972;1.946343
200.000000;0.012500;129.038294;1.946584
200.000000;0.016667;129.033848;1.946920
200.000000;0.020000;129.041198;1.947516
200.000000;0.025000;129.037773;1.946769
200.000000;0.033333;129.042353;1.946948
200.000000;0.040000;129.047083;1.947707
200.000000;0.050000;129.047615;1.947433
200.000000;0.066667;129.047358;1.948438
200.000000;0.076923;129.056031;1.948882
200.000000;0.100000;129.058297;1.950771
200.000000;0.125000;129.062149;1.951325
200.000000;0.166667;129.066794;1.951671
200.000000;0.200000;129.072412;1.952639
200.000000;0.250000;129.066534;1.952174
200.000000;0.333333;129.071479;1.952801
200.000000;0.400000;129.080756;1.953227
200.000000;0.500000;129.090142;1.955724
200.000000;0.625000;129.101189;1.956474
200.000000;0.769231;129.117653;1.958834
200.000000;1.000000;129.134150;1.961644
200.000000;1.300000;129.155585;1.966024
200.000000;1.600000;129.180387;1.970117
200.000000;2.000000;129.211502;1.974197
200.000000;2.500000;129.255385;1.981346
200.000000;3.000000;129.305554;1.989474
200.000000;4.000000;129.368656;2.000755
200.000000;5.000000;129.461987;2.015587
200.000000;6.000000;129.567625;2.035283
200.000000;8.000000;129.715873;2.060865
200.000000;10.000000;129.904423;2.089722
200.000000;13.000000;130.146905;2.131291
200.000000;15.000000;130.500354;2.201408
250.000000;0.000250;128.872051;2.413727
250.000000;0.000312;128.879230;2.415284
